Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=674b45f478b7c655939c4c091b855685&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=3&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_9Y
,"Par yield curve rate, 10-year maturity","Par yield curve rate, 11-year maturity","Par yield curve rate, 12-year maturity","Par yield curve rate, 13-year maturity","Par yield curve rate, 14-year maturity","Par yield curve rate, 15-year maturity","Par yield curve rate, 1-year maturity","Par yield curve rate, 20-year maturity","Par yield curve rate, 25-year maturity","Par yield curve rate, 2-year maturity","Par yield curve rate, 30-year maturity","Par yield curve rate, 3-month maturity","Par yield curve rate, 3-year maturity","Par yield curve rate, 4-year maturity","Par yield curve rate, 5-year maturity","Par yield curve rate, 6-month maturity","Par yield curve rate, 6-year maturity","Par yield curve rate, 7-year maturity","Par yield curve rate, 8-year maturity","Par yield curve rate, 9-year maturity"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2019-10-03,-0.540888,-0.492722,-0.447440,-0.405355,-0.366550,-0.330953,-0.766030,-0.194255,-0.106414,-0.808904,-0.047084,-0.712137,-0.821729,-0.810480,-0.781651,-0.732168,-0.741097,-0.693593,-0.642782,-0.591287
2019-10-02,-0.485011,-0.435350,-0.389149,-0.346576,-0.307594,-0.272042,-0.757157,-0.136969,-0.050995,-0.797698,0.006904,-0.699022,-0.803802,-0.784482,-0.747838,-0.721261,-0.700473,-0.647422,-0.592319,-0.537648
2019-10-01,-0.487124,-0.436971,-0.390135,-0.346846,-0.307113,-0.270808,-0.751474,-0.132425,-0.044125,-0.790797,0.015371,-0.698276,-0.798441,-0.781444,-0.746969,-0.718320,-0.701250,-0.649244,-0.594640,-0.540029
2019-09-30,-0.516882,-0.468054,-0.422479,-0.380376,-0.341747,-0.306461,-0.759115,-0.172026,-0.086259,-0.805600,-0.028459,-0.696534,-0.817139,-0.802493,-0.769713,-0.720226,-0.725452,-0.674845,-0.621636,-0.568418
2019-09-27,-0.536621,-0.490628,-0.447663,-0.407948,-0.371495,-0.338186,-0.750628,-0.211216,-0.130168,-0.799521,-0.075529,-0.686320,-0.813801,-0.802244,-0.772806,-0.710595,-0.732015,-0.684889,-0.635077,-0.585104
2019-09-26,-0.529238,-0.485045,-0.443656,-0.405318,-0.370068,-0.337813,-0.739474,-0.214561,-0.135722,-0.780466,-0.082537,-0.687148,-0.792276,-0.781149,-0.753568,-0.706676,-0.715229,-0.670690,-0.623368,-0.575680
2019-09-25,-0.558907,-0.516049,-0.475612,-0.437946,-0.403166,-0.371237,-0.722018,-0.248579,-0.169810,-0.769204,-0.116624,-0.668673,-0.789104,-0.785933,-0.765305,-0.688011,-0.732655,-0.692579,-0.648655,-0.603497
